Name;Globale ID;Teilort;Zusatz
Rosensteinpark;de:08111:262;Stuttgart;
Glockenstraße;de:08111:263;Stuttgart;
Kienbachstraße;de:08111:264;Stuttgart;Stuttgart
Blick;de:08111:265;Stuttgart;
Eszet;de:08111:267;Stuttgart;
Schlotterbeckstraße;de:08111:268;Stuttgart;
Auwiesen;de:08111:271;Stuttgart;
Hofen;de:08111:272;Stuttgart;Stuttgart
Wagrainäcker;de:08111:274;Stuttgart;
Elbestraße;de:08111:275;Stuttgart;
Freibergstraße;de:08111:276;Stuttgart;
Münster Rathaus;de:08111:277;Stuttgart;
Münster Viadukt;de:08111:278;Stuttgart;
Weserstraße;de:08111:279;Stuttgart;
Kraftwerk Münster;de:08111:280;Stuttgart;
Mühlsteg;de:08111:281;Stuttgart;
Suttnerstraße;de:08111:288;Stuttgart;
Himmelsleiter;de:08111:289;Stuttgart;
Mittnachtstraße;de:08111:296;Stuttgart;
Milchhof;de:08111:297;Stuttgart;
Budapester Platz;de:08111:299;Stuttgart;
Friedhofstraße;de:08111:303;Stuttgart;
Tal-/Ostendstraße;de:08111:306;Stuttgart;
Karlstraße;de:08116:309;Musberg;Musberg
Friedhof;de:08116:310;Musberg;Musberg
Filderbahnstraße;de:08111:316;Stuttgart;
Elsterstaffel;de:08111:318;Stuttgart;
Losäcker;de:08111:319;Stuttgart;
Laichlestraße;de:08118:320;Gerlingen;
Gnesener Straße;de:08111:321;Stuttgart;
Kursaal;de:08111:322;Stuttgart;
Daimlerplatz;de:08111:323;Stuttgart;
Nägelestraße;de:08111:341;Stuttgart;
Wielandshöhe;de:08111:342;Stuttgart;
Pfaffenweg;de:08111:343;Stuttgart;
Liststraße;de:08111:344;Stuttgart;
SSB-Zentrum;de:08111:350;Stuttgart;
Plieninger Straße;de:08111:353;Stuttgart;Stuttgart
Sigmaringer Straße;de:08111:354;Stuttgart;
Wallgraben;de:08111:355;Stuttgart;
Jurastraße;de:08111:356;Stuttgart;
Salzäcker;de:08111:360;Stuttgart;Stuttgart
Freytagweg;de:08111:361;Stuttgart;
Schelmenwasen;de:08111:363;Stuttgart;Stuttgart
Fasanenhof;de:08111:364;Stuttgart;
Kelterstraße;de:08111:370;Stuttgart;Stuttgart
Tunnelstraße;de:08111:371;Stuttgart;
Villastraße;de:08111:372;Stuttgart;
Moselstraße;de:08111:373;Stuttgart;
Rembrandtstraße;de:08111:374;Stuttgart;
Bieler Weg;de:08111:375;Stuttgart;
Ulmenstraße;de:08111:376;Stuttgart;Stuttgart
Wangen Kelter;de:08111:377;Stuttgart;
Höfingen;de:08115:1003;Höfingen;
Zazenhausen;de:08111:1200;Stuttgart;
Sommerrain;de:08111:1300;Stuttgart;Stuttgart
Malmsheim;de:08115:1301;Malmsheim;
Rutesheim;de:08115:1302;Leonberg;
Weil der Stadt;de:08115:1303;Weil der Stadt;
Bietigheim;de:08118:1400;Bietigheim;
Kornwestheim;de:08118:1402;Kornwestheim;
Neuwirtsh. (Porschep.);de:08111:1403;Stuttgart;
Benningen (N);de:08118:1500;Benningen (N);
Freiberg (N);de:08118:1503;Freiberg (N);
Münster;de:08111:1504;Stuttgart;
Nellmersbach;de:08119:1601;Nellmersbach;
Neustadt-Hohenacker;de:08119:1602;Neustadt;
Schwaikheim;de:08119:1603;Schwaikheim;
Ebitzweg;de:08111:1604;Stuttgart;
Stetten-Beinstein;de:08119:1701;Endersbach;
Geradstetten;de:08119:1702;Geradstetten;
Grunbach;de:08119:1703;Grunbach;
Weiler (R);de:08119:1704;Weiler (Schorndorf);
Winterbach;de:08119:1705;Winterbach;
Altbach;de:08116:1800;Altbach;
Mettingen;de:08116:1801;Mettingen;
Oberesslingen;de:08116:1802;Oberesslingen;
Zell;de:08116:1803;Zell (Esslingen);Zell (Esslingen)
Filderstadt;de:08116:1905;Bernhausen;
Ellental;de:08118:1910;Bietigheim;
Raiffeisenstraße;de:08116:1997;Bonlanden;Bonlanden
Johanneskirche;de:08116:1998;Bernhausen;Bernhausen
Rosenstraße;de:08116:1999;Bernhausen;Bernhausen
Rudolfshöhe;de:08116:2000;Aich;
Ort;de:08116:2001;Aich;
Siedlung;de:08116:2003;Aich;Aich
Bahnhof;de:08116:2006;Bernhausen;Bernhausen
Hauptstraße;de:08116:2008;Bernhausen;Bernhausen
Karlstraße;de:08116:2009;Bernhausen;Bernhausen
Fröbelstraße;de:08116:2012;Bernhausen;Bernhausen
Bonlandener Straße;de:08116:2015;Bonlanden;
Filderklinik;de:08116:2016;Bonlanden;
Fildorado;de:08116:2017;Bonlanden;
Gutenhalde;de:08116:2018;Bonlanden;
Hauptstraße;de:08116:2019;Bonlanden;Bonlanden
Reußensteinweg;de:08116:2020;Bonlanden;Bonlanden
Nord;de:08116:2021;Bonlanden;Bonlanden
Rotzeil;de:08116:2022;Bonlanden;
Linde;de:08116:2023;Harthausen;Harthausen
Kirche;de:08116:2024;Harthausen;Harthausen
Driefbrunnen;de:08116:2025;Plattenhardt;
Industriegebiet;de:08116:2026;Plattenhardt;Plattenhardt
Schnecken;de:08116:2027;Plattenhardt;
Rathaus;de:08116:2028;Plattenhardt;Plattenhardt
Waldstraße;de:08116:2029;Plattenhardt;Plattenhardt
Alemannenstraße;de:08116:2030;Sielmingen;Sielmingen
Friedrichstraße;de:08116:2031;Sielmingen;Sielmingen
Harthäuser Weg;de:08116:2032;Sielmingen;
Kantstraße;de:08116:2033;Sielmingen;Sielmingen
Lange Straße;de:08116:2035;Sielmingen;Sielmingen
Rathaus;de:08116:2036;Sielmingen;Sielmingen
Bernhäuser Straße;de:08111:2037;Stuttgart;
Kaserne Möhringen;de:08111:2038;Stuttgart;
Plieningen Post;de:08111:2039;Stuttgart;
Scharnhäuser Brücke;de:08111:2040;Stuttgart;
Steckfeld;de:08111:2041;Stuttgart;
Schul-/Sportzentrum;de:08116:2042;Sielmingen;
Neuhäuser Straße;de:08116:2043;Bernhausen;Bernhausen
Rathaus;de:08116:2044;Bernhausen;Bernhausen
Friedhof;de:08116:2045;Sielmingen;Sielmingen
Waldorfschule;de:08116:2046;Bonlanden;Bonlanden
Weilerhau;de:08116:2047;Plattenhardt;
Elisabeth-Selbert-Gymnasium;de:08116:2049;Bernhausen;
Leipziger Platz;de:08111:2050;Stuttgart;
Schillerstraße;de:08116:2051;Plattenhardt;Plattenhardt
Rainäckerstraße;de:08116:2052;Bonlanden;
Senefelderstraße;de:08111:2053;Stuttgart;
Marienstraße;de:08111:2054;Stuttgart;Stuttgart
Schönbuchstraße;de:08116:2055;Plattenhardt;Plattenhardt
Altenheim;de:08116:2056;Plattenhardt;Plattenhardt
Friedenstraße;de:08111:2057;Stuttgart;
Urachstraße;de:08111:2058;Stuttgart;
Schwarenbergstraße;de:08111:2059;Stuttgart;
Wilhelmsbau;de:08111:2061;Stuttgart;
Mitte;de:08116:2062;Schlaitdorf;Schlaitdorf
Süd;de:08415:29041;Häslach;Häslach
Seestraße;de:08415:29040;Häslach;Häslach
Schule;de:08116:2065;Altenriet;Altenriet
Rathaus;de:08116:2066;Altenriet;Altenriet
Hohebildstraße;de:08415:29043;Walddorf;
Rathaus (Notariat);de:08415:24320;Walddorf;
Neuer Markt;de:08116:2069;Leinfelden;
Neckartailfinger Straße;de:08116:2070;Schlaitdorf;
Fleinsbach;de:08116:2071;Bernhausen;
TÜV;de:08116:2072;Bernhausen;
Finkenstraße;de:08116:2074;Plattenhardt;
Filharmonie;de:08116:2076;Bernhausen;
Diepoldstraße;de:08116:2077;Bernhausen;
Marktstraße;de:08116:2078;Bonlanden;Bonlanden
Nord-West-Ring;de:08116:2079;Bernhausen;
Roßbergstraße;de:08116:2080;Harthausen;
Carl-Zeiss-Straße;de:08116:2081;Harthausen;Harthausen
Am Lindle;de:08116:2082;Bonlanden;
Nord-West-Umfahrung;de:08116:2084;Bernhausen;
Hausäcker;de:08116:2085;Sielmingen;
Hasenheim;de:08116:2086;Harthausen;
Klinkernfeld;de:08116:2087;Bernhausen;
Mühlenbuckel;de:08116:2088;Bernhausen;
Turnackerstraße;de:08116:2089;Bernhausen;
Luftfrachtzentrum West;de:08116:2090;Bernhausen;
Kreuzäcker;de:08116:2091;Bonlanden;
Ressestraße;de:08111:2092;Stuttgart;
In den Entenäckern;de:08111:2093;Stuttgart;
Im Köpfert;de:08111:2094;Stuttgart;
Goethestraße;de:08116:2096;Leinfelden;Leinfelden
Meisenweg;de:08116:2097;Leinfelden;Leinfelden
Eselsmühle;de:08116:2098;Musberg;
Riedweg;de:08116:2099;Leinfelden;
Hans-Brümmer-Platz;de:08116:2100;Leinfelden;
Bonländer Straße;de:08116:2101;Echterdingen;
Friedhof;de:08116:2102;Echterdingen;Echterdingen
Flughafen/Messe;de:08116:2103;Echterdingen;
Oberaichen;de:08116:2105;Leinfelden;
Oberaichen Waldheim;de:08116:2106;Leinfelden;
Eulenberg;de:08116:2107;Musberg;
Kirche;de:08116:2108;Musberg;Musberg
Ludwigstraße;de:08116:2109;Musberg;Musberg
Klingenstraße;de:08116:2110;Musberg;Musberg
Hohlweg;de:08116:2111;Stetten (Leinfelden-Echt.);
Holderweg;de:08116:2112;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Kasparswald;de:08116:2114;Stetten (Leinfelden-Echt.);
Hof;de:08116:2115;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Schattengrund;de:08111:2118;Stuttgart;
Untere Halde;de:08116:2121;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Lindachschule;de:08116:2122;Stetten (Leinfelden-Echt.);
Weidach;de:08116:2123;Stetten (Leinfelden-Echt.);
Erlach;de:08116:2124;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Schmellbachtal;de:08116:2125;Leinfelden;
Veilchenweg;de:08116:2127;Leinfelden;
Manosquer Straße;de:08116:2129;Leinfelden;
Zaunacker;de:08116:2130;Echterdingen;
Spaichinger Straße;de:08111:2131;Stuttgart;
Nikolaus-Otto-Straße;de:08116:2132;Echterdingen;
Martin-Luther-Straße;de:08116:2134;Echterdingen;Echterdingen
Froschegert;de:08116:2135;Grötzingen;
Forststraße;de:08116:2136;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Sonnenhalde;de:08116:2138;Musberg;Musberg
Sielminger Straße;de:08116:2139;Stetten (Leinfelden-Echt.);
Magellanstraße;de:08116:2141;Echterdingen;
Kelterrain;de:08116:2142;Echterdingen;
Möhringer Straße;de:08116:2143;Sielmingen;
Reutlinger Straße;de:08116:2144;Sielmingen;Sielmingen
Burgstraße;de:08116:2145;Echterdingen;Echterdingen
Stadtbücherei;de:08116:2147;Leinfelden;
Gewerbegebiet;de:08116:2156;Stetten (Leinfelden-Echt.);Stetten (Leinfelden-Echt.)
Filder-Airport-Areal;de:08116:2157;Bernhausen;
Schafgartenstraße;de:08116:2158;Musberg;
Im Köller;de:08116:2159;Sielmingen;
Kleinhohenheim;de:08111:2186;Stuttgart;
Buchwald;de:08111:2187;Stuttgart;
Fuchsrain;de:08111:2188;Stuttgart;Stuttgart
Albert-Schäffle-Straße;de:08111:2189;Stuttgart;
Doggenburg;de:08111:2190;Stuttgart;
Viktor-Köchl-Weg;de:08111:2191;Stuttgart;
Schottstraße;de:08111:2192;Stuttgart;
Ehrenhalde;de:08111:2193;Stuttgart;
Dillmannstraße;de:08111:2194;Stuttgart;
Hölderlinstraße;de:08111:2195;Stuttgart;Stuttgart
Linden-Museum;de:08111:2196;Stuttgart;
Wilhelm-/Olgastraße;de:08111:2198;Stuttgart;
Falbenhennenstraße;de:08111:2199;Stuttgart;
Gablenberg;de:08111:2200;Stuttgart;
Libanonstraße;de:08111:2201;Stuttgart;
Wagenburgstraße;de:08111:2202;Stuttgart;
Katharinenhospital;de:08111:2203;Stuttgart;
Rosenberg-/Johannesstraße;de:08111:2204;Stuttgart;
Rosenbergplatz;de:08111:2205;Stuttgart;
Bruderhaus;de:08111:2206;Stuttgart;
Schwab-/Reinsburgstraße;de:08111:2207;Stuttgart;
Schickhardtschule;de:08111:2208;Stuttgart;
Rudolf-Sophien-Stift;de:08111:2209;Stuttgart;
Calwer Bogen;de:08115:2210;Sindelfingen;
Drosselweg;de:08115:2211;Sindelfingen;Sindelfingen
Feldbergstraße;de:08115:2212;Sindelfingen;Sindelfingen
Eltinger Straße;de:08115:2213;Sindelfingen;Sindelfingen
Messehalle;de:08115:2214;Sindelfingen;
Pfarrwiesengymnasium;de:08115:2216;Sindelfingen;
Rotbühl;de:08115:2218;Sindelfingen;
Spitzholzstraße;de:08115:2220;Sindelfingen;
Stadion;de:08115:2221;Sindelfingen;Sindelfingen
Mercedes-Benz Hst. A;de:08115:2222;Sindelfingen;
Waldheim;de:08115:2223;Sindelfingen;
Zimmerstraße;de:08115:2224;Sindelfingen;
Mahdentalstraße;de:08115:2225;Sindelfingen;
Mercedes-Benz Hst. B;de:08115:2226;Sindelfingen;
Stadthalle;de:08115:2227;Sindelfingen;Sindelfingen
Mercedes-Benz Hst. C;de:08115:2228;Sindelfingen;
Mercedes-Benz Hst. D;de:08115:2229;Sindelfingen;
Mercedes-Benz Hst. E;de:08115:2230;Sindelfingen;
Mercedes-Benz Hst. F;de:08115:2231;Sindelfingen;
Mercedes-Benz Hst. I;de:08115:2234;Sindelfingen;
Killesberg;de:08111:2235;Stuttgart;
Oskar-Schlemmer-Straße;de:08111:2236;Stuttgart;
Mercedes-Benz Hst. K;de:08115:2237;Sindelfingen;
Glaspalast;de:08115:2240;Sindelfingen;
Kunstakademie;de:08111:2241;Stuttgart;
Viergiebelweg;de:08111:2242;Stuttgart;
Obere Mönchhalde;de:08111:2243;Stuttgart;
Helfferichstraße;de:08111:2244;Stuttgart;
Am Kriegsbergturm;de:08111:2245;Stuttgart;
Im Kaisemer;de:08111:2246;Stuttgart;
Postdörfle;de:08111:2247;Stuttgart;Stuttgart
Kleiststraße;de:08111:2248;Stuttgart;Stuttgart
Am Römerkastell;de:08111:2250;Stuttgart;
Altenburg;de:08111:2251;Stuttgart;
Martinskirche;de:08111:2252;Stuttgart;Stuttgart
Mönchhaldenstraße;de:08111:2253;Stuttgart;
Rebhalde;de:08111:2254;Stuttgart;
Nastplatz;de:08111:2258;Stuttgart;
Dessauer Straße;de:08111:2259;Stuttgart;
Bottroper Straße;de:08111:2260;Stuttgart;
Bismarckstaffel;de:08111:2261;Stuttgart;
Rotebühl-/Reinsburgstraße;de:08111:2262;Stuttgart;
Seyfferstraße;de:08111:2263;Stuttgart;
Silberburg-/Reinsburgstraße;de:08111:2264;Stuttgart;
Herbsthalde;de:08111:2265;Stuttgart;
Weilimdorf Bf;de:08111:2270;Stuttgart;
Mercedes-Benz Hst. N;de:08115:2281;Sindelfingen;
Mercedes-Benz Hst. O;de:08115:2282;Sindelfingen;
Mercedes-Benz Hst. P;de:08115:2283;Sindelfingen;
Ditzinger Straße;de:08118:2298;Gerlingen;Gerlingen
Feuerwehr;de:08118:2299;Gerlingen;Gerlingen
Alte Steige;de:08118:2301;Gerlingen;Gerlingen
Bopserwaldstraße;de:08118:2302;Gerlingen;
Burgklinge;de:08118:2303;Gerlingen;
Füllerstraße;de:08118:2304;Gerlingen;
Glemstal;de:08118:2305;Gerlingen;Gerlingen
Hirschbergstraße;de:08118:2306;Gerlingen;Gerlingen
Hofwiesenstraße;de:08118:2307;Gerlingen;
Ramtel;de:08118:2308;Gerlingen;
Schleiermacherstraße;de:08115:2309;Leonberg;
Planckstraße;de:08111:2310;Stuttgart;
Straußstaffel;de:08111:2311;Stuttgart;
Klinik Schillerhöhe;de:08118:2312;Gerlingen;
Schillerhöhe Bosch;de:08118:2313;Gerlingen;
Gerlinger Tor;de:08118:2314;Gerlingen;
Solitude;de:08111:2316;Stuttgart;
Krummbachtal;de:08118:2317;Gerlingen;
Waldsiedlung;de:08118:2318;Gerlingen;
Samariterstift;de:08115:2319;Leonberg;
Bildstöckle;de:08115:2320;Leonberg;
Engelberg;de:08115:2321;Leonberg;Leonberg
Gartenstadt;de:08115:2322;Leonberg;Leonberg
Glemseck;de:08115:2324;Leonberg;
Golfplatz;de:08115:2325;Leonberg;Leonberg
Hirschberger Straße;de:08115:2326;Ramtel;
Krankenhaus;de:08115:2327;Leonberg;Leonberg
Leo-Center;de:08115:2328;Eltingen;
Johannes-Kepler-Gymnasium;de:08115:2329;Leonberg;
